r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.072120 -1.291677 -0.452019 0.020269 -0.000677 0.000008 -159.184936 0 1 0 0 0 0
3.046712 -1.192317 -0.424236 0.017934 -0.000632 0.000010 -162.725380 0 1 0 0 0 0
3.022794 -1.092958 -0.395062 0.015556 -0.000575 0.000012 -166.990480 0 1 0 0 0 0
2.996233 -0.993598 -0.365543 0.013247 -0.000488 0.000010 -171.590637 0 1 0 0 0 0
2.969128 -0.894238 -0.335022 0.011031 -0.000372 0.000006 -175.066582 0 1 0 0 0 0
2.946256 -0.794878 -0.302439 0.008865 -0.000261 0.000003 -177.445722 0 1 0 0 0 0
2.927151 -0.695518 -0.268100 0.006768 -0.000162 0.000001 -178.961521 0 1 0 0 0 0
2.911569 -0.596159 -0.232266 0.004769 -0.000083 0.000000 -179.813902 0 1 0 0 0 0
2.899361 -0.496799 -0.195189 0.002922 -0.000027 -0.000000 -180.163234 0 1 0 0 0 0
2.890328 -0.397439 -0.157129 0.001348 0.000003 -0.000000 -180.130988 0 1 0 0 0 0
2.884139 -0.298079 -0.118353 0.000315 0.000008 -0.000000 -179.811045 0 1 0 0 0 0
2.880416 -0.198720 -0.079106 0.000030 0.000003 -0.000000 -179.297138 0 1 0 0 0 0
2.878528 -0.099360 -0.039605 -0.000020 0.000000 0.000000 -178.887869 0 1 0 0 0 0
2.877984 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -178.752110 0 1 0 0 0 0
2.878588 0.099360 0.039603 0.000003 -0.000000 -0.000000 -178.899755 0 1 0 0 0 0
2.880267 0.198720 0.079114 -0.000058 -0.000002 -0.000000 -179.326642 0 1 0 0 0 0
2.883042 0.298079 0.118443 -0.000252 -0.000006 -0.000000 -180.023676 0 1 0 0 0 0
2.887188 0.397439 0.157470 -0.000756 -0.000017 -0.000000 -180.954058 0 1 0 0 0 0
2.893069 0.496799 0.196039 -0.001198 -0.000037 -0.000000 -182.012988 0 1 0 0 0 0
2.900491 0.596159 0.234044 -0.000525 -0.000061 -0.000001 -182.936062 0 1 0 0 0 0
2.909654 0.695518 0.271334 0.000620 -0.000083 -0.000002 -183.575186 0 1 0 0 0 0
2.920398 0.794878 0.307819 0.001945 -0.000104 -0.000003 -183.878156 0 1 0 0 0 0
2.932516 0.894238 0.343440 0.003373 -0.000124 -0.000004 -183.784555 0 1 0 0 0 0
2.945838 0.993598 0.378156 0.004847 -0.000145 -0.000006 -183.244759 0 1 0 0 0 0
2.960238 1.092958 0.411935 0.006331 -0.000167 -0.000009 -182.216840 0 1 0 0 0 0
2.975626 1.192317 0.444748 0.007801 -0.000192 -0.000012 -180.664376 0 1 0 0 0 0
2.991948 1.291677 0.476568 0.009241 -0.000222 -0.000015 -178.554999 0 1 0 0 0 0
3.009173 1.391037 0.507368 0.010639 -0.000258 -0.000019 -175.859327 0 1 0 0 0 0
3.027292 1.490397 0.537121 0.011990 -0.000300 -0.000023 -172.550042 0 1 0 0 0 0
3.046306 1.589756 0.565799 0.013294 -0.000350 -0.000028 -168.600948 0 1 0 0 0 0
3.066230 1.689116 0.593374 0.014550 -0.000406 -0.000033 -163.985803 0 1 0 0 0 0
3.087085 1.788476 0.619819 0.015765 -0.000470 -0.000038 -158.676704 0 1 0 0 0 0
3.108903 1.887836 0.645102 0.016944 -0.000542 -0.000044 -152.641842 0 1 0 0 0 0
3.131732 1.987196 0.669191 0.018097 -0.000621 -0.000050 -145.842606 0 1 0 0 0 0
3.155632 2.086555 0.692047 0.019231 -0.000709 -0.000056 -138.230139 0 1 0 0 0 0
3.180689 2.185915 0.713624 0.020350 -0.000806 -0.000062 -129.741653 0 1 0 0 0 0
3.207023 2.285275 0.733860 0.021450 -0.000915 -0.000069 -120.296875 0 1 0 0 0 0
3.235212 2.384635 0.752480 0.022416 -0.001075 -0.000080 -109.759098 0 1 0 0 0 0
3.266715 2.483994 0.768789 0.022816 -0.001462 -0.000105 -98.290092 0 1 0 0 0 0
