r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.000742 1.016527 0.372855 0.007073 -0.000015 -0.000007 -189.289752 0 1 0 0 0 0
3.029289 1.161745 0.418127 0.011796 0.000190 -0.000004 -189.358622 0 1 0 0 0 0
3.060644 1.306963 0.460804 0.017071 0.000498 0.000007 -189.047857 0 1 0 0 0 0
3.094226 1.452181 0.500951 0.022820 0.000908 0.000026 -188.401915 0 1 0 0 0 0
3.129546 1.597400 0.538678 0.028960 0.001408 0.000055 -187.468254 0 1 0 0 0 0
3.166196 1.742618 0.574123 0.035394 0.001983 0.000091 -186.294303 0 1 0 0 0 0
3.203816 1.887836 0.607446 0.042011 0.002609 0.000132 -184.926545 0 1 0 0 0 0
