r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.000042 1.016527 0.373029 0.007113 -0.000012 -0.000007 -189.428743 0 1 0 0 0 0
3.028628 1.161745 0.418309 0.011826 0.000192 -0.000004 -189.486064 0 1 0 0 0 0
3.059998 1.306963 0.460999 0.017093 0.000501 0.000007 -189.166468 0 1 0 0 0 0
3.093577 1.452181 0.501162 0.022833 0.000910 0.000027 -188.514425 0 1 0 0 0 0
3.128879 1.597400 0.538908 0.028962 0.001410 0.000055 -187.577268 0 1 0 0 0 0
3.165498 1.742618 0.574377 0.035383 0.001984 0.000091 -186.402277 0 1 0 0 0 0
3.203072 1.887836 0.607728 0.041984 0.002609 0.000133 -185.035864 0 1 0 0 0 0
