r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.997949 1.016527 0.373550 0.007104 -0.000014 -0.000007 -189.896484 0 1 0 0 0 0
3.026629 1.161745 0.418862 0.011808 0.000190 -0.000004 -189.949154 0 1 0 0 0 0
3.058111 1.306963 0.461568 0.017062 0.000496 0.000007 -189.621381 0 1 0 0 0 0
3.091812 1.452181 0.501734 0.022785 0.000902 0.000026 -188.958344 0 1 0 0 0 0
3.127242 1.597400 0.539472 0.028889 0.001397 0.000053 -188.008199 0 1 0 0 0 0
3.163985 1.742618 0.574926 0.035276 0.001963 0.000089 -186.819141 0 1 0 0 0 0
3.201671 1.887836 0.608260 0.041830 0.002577 0.000128 -185.438627 0 1 0 0 0 0
