r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.178452 -1.291677 -0.422281 0.034917 -0.003243 0.000295 -175.998351 0 1 0 0 0 0
3.134923 -1.192317 -0.400698 0.030086 -0.002597 0.000220 -178.608456 0 1 0 0 0 0
3.093277 -1.092958 -0.377263 0.025392 -0.002000 0.000156 -180.774242 0 1 0 0 0 0
3.054891 -0.993598 -0.351640 0.020971 -0.001480 0.000104 -182.498581 0 1 0 0 0 0
3.020273 -0.894238 -0.323772 0.016849 -0.001043 0.000065 -183.792088 0 1 0 0 0 0
2.989848 -0.794878 -0.293684 0.013039 -0.000688 0.000037 -184.682205 0 1 0 0 0 0
2.963895 -0.695518 -0.261494 0.009547 -0.000413 0.000018 -185.210843 0 1 0 0 0 0
2.942515 -0.596159 -0.227407 0.006383 -0.000213 0.000007 -185.428457 0 1 0 0 0 0
2.925647 -0.496799 -0.191697 0.003589 -0.000080 0.000002 -185.385359 0 1 0 0 0 0
2.913091 -0.397439 -0.154682 0.001320 -0.000010 -0.000000 -185.121873 0 1 0 0 0 0
2.904556 -0.298079 -0.116695 -0.000010 0.000007 -0.000000 -184.668715 0 1 0 0 0 0
2.899904 -0.198720 -0.078046 -0.000129 0.000002 -0.000000 -184.077336 0 1 0 0 0 0
2.897939 -0.099360 -0.039076 -0.000049 0.000000 -0.000000 -183.619288 0 1 0 0 0 0
2.897349 -0.000000 -0.000000 0.000000 0.000000 0.000000 -183.463457 0 1 0 0 0 0
2.897868 0.099360 0.039078 -0.000079 -0.000000 0.000000 -183.618929 0 1 0 0 0 0
2.899416 0.198720 0.078073 -0.000366 -0.000003 0.000000 -184.082636 0 1 0 0 0 0
2.902050 0.298079 0.116896 -0.000960 -0.000010 0.000000 -184.847674 0 1 0 0 0 0
2.906196 0.397439 0.155417 -0.002072 -0.000029 0.000001 -185.884546 0 1 0 0 0 0
2.912453 0.496799 0.193438 -0.002951 -0.000065 0.000002 -187.085087 0 1 0 0 0 0
2.921024 0.596159 0.230765 -0.002126 -0.000105 0.000001 -188.194559 0 1 0 0 0 0
2.932128 0.695518 0.267191 -0.000532 -0.000127 -0.000002 -189.137015 0 1 0 0 0 0
2.945577 0.794878 0.302579 0.001534 -0.000121 -0.000005 -189.895626 0 1 0 0 0 0
2.961145 0.894238 0.336831 0.003994 -0.000078 -0.000007 -190.454157 0 1 0 0 0 0
2.978596 0.993598 0.369885 0.006792 0.000005 -0.000008 -190.808814 0 1 0 0 0 0
2.997692 1.092958 0.401706 0.009884 0.000132 -0.000007 -190.963977 0 1 0 0 0 0
3.018213 1.192317 0.432286 0.013234 0.000300 -0.000004 -190.929082 0 1 0 0 0 0
3.039952 1.291677 0.461635 0.016810 0.000509 0.000002 -190.716555 0 1 0 0 0 0
3.062729 1.391037 0.489779 0.020579 0.000755 0.000011 -190.340442 0 1 0 0 0 0
3.086381 1.490397 0.516751 0.024507 0.001031 0.000021 -189.815512 0 1 0 0 0 0
3.110769 1.589756 0.542592 0.028557 0.001331 0.000033 -189.156710 0 1 0 0 0 0
3.135769 1.689116 0.567349 0.032689 0.001647 0.000045 -188.378888 0 1 0 0 0 0
3.161269 1.788476 0.591070 0.036862 0.001971 0.000057 -187.496750 0 1 0 0 0 0
3.187163 1.887836 0.613810 0.041036 0.002292 0.000067 -186.524962 0 1 0 0 0 0
3.213347 1.987196 0.635629 0.045173 0.002604 0.000075 -185.478366 0 1 0 0 0 0
3.239709 2.086555 0.656594 0.049243 0.002899 0.000080 -184.372217 0 1 0 0 0 0
3.266128 2.185915 0.676777 0.053232 0.003174 0.000081 -183.222301 0 1 0 0 0 0
3.292481 2.285275 0.696259 0.057149 0.003431 0.000079 -182.044751 0 1 0 0 0 0
3.318656 2.384635 0.715115 0.061027 0.003678 0.000075 -180.855447 0 1 0 0 0 0
3.344571 2.483994 0.733413 0.064915 0.003924 0.000070 -179.669037 0 1 0 0 0 0
