r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.190524 -1.291677 -0.419091 0.035090 -0.003264 0.000296 -172.990070 0 1 0 0 0 0
3.146866 -1.192317 -0.397662 0.030168 -0.002601 0.000220 -175.537858 0 1 0 0 0 0
3.105638 -1.092958 -0.374266 0.025451 -0.002002 0.000155 -177.654331 0 1 0 0 0 0
3.067637 -0.993598 -0.348724 0.021009 -0.001481 0.000103 -179.339930 0 1 0 0 0 0
3.033358 -0.894238 -0.320985 0.016872 -0.001043 0.000064 -180.606398 0 1 0 0 0 0
3.003214 -0.794878 -0.291076 0.013052 -0.000688 0.000036 -181.480899 0 1 0 0 0 0
2.977472 -0.695518 -0.259115 0.009558 -0.000413 0.000018 -182.003648 0 1 0 0 0 0
2.956233 -0.596159 -0.225301 0.006401 -0.000213 0.000007 -182.222530 0 1 0 0 0 0
2.939444 -0.496799 -0.189902 0.003626 -0.000082 0.000002 -182.185439 0 1 0 0 0 0
2.926924 -0.397439 -0.153224 0.001390 -0.000012 -0.000000 -181.931884 0 1 0 0 0 0
2.918411 -0.298079 -0.115589 0.000088 0.000006 -0.000000 -181.494474 0 1 0 0 0 0
2.913793 -0.198720 -0.077304 -0.000076 0.000002 -0.000000 -180.925341 0 1 0 0 0 0
2.911799 -0.099360 -0.038705 -0.000035 0.000000 -0.000000 -180.491605 0 1 0 0 0 0
2.911198 -0.000000 -0.000000 0.000000 0.000000 0.000000 -180.343898 0 1 0 0 0 0
2.911729 0.099360 0.038707 -0.000065 -0.000000 0.000000 -180.491491 0 1 0 0 0 0
2.913305 0.198720 0.077330 -0.000308 -0.000003 0.000000 -180.932021 0 1 0 0 0 0
2.915971 0.298079 0.115783 -0.000823 -0.000010 0.000000 -181.658957 0 1 0 0 0 0
2.920114 0.397439 0.153939 -0.001832 -0.000028 0.000001 -182.644536 0 1 0 0 0 0
2.926365 0.496799 0.191603 -0.002783 -0.000064 0.000002 -183.796298 0 1 0 0 0 0
2.934910 0.596159 0.228587 -0.002094 -0.000104 0.000001 -184.883339 0 1 0 0 0 0
2.945971 0.695518 0.264686 -0.000530 -0.000127 -0.000002 -185.802003 0 1 0 0 0 0
2.959355 0.794878 0.299768 0.001516 -0.000122 -0.000004 -186.541264 0 1 0 0 0 0
2.974836 0.894238 0.333738 0.003962 -0.000080 -0.000007 -187.085159 0 1 0 0 0 0
2.992179 0.993598 0.366534 0.006750 0.000002 -0.000008 -187.429696 0 1 0 0 0 0
3.011152 1.092958 0.398123 0.009836 0.000127 -0.000007 -187.578969 0 1 0 0 0 0
3.031535 1.192317 0.428495 0.013183 0.000295 -0.000004 -187.542026 0 1 0 0 0 0
3.053128 1.291677 0.457660 0.016757 0.000502 0.000002 -187.330822 0 1 0 0 0 0
3.075751 1.391037 0.485641 0.020525 0.000745 0.000010 -186.958862 0 1 0 0 0 0
3.099244 1.490397 0.512471 0.024451 0.001019 0.000020 -186.440340 0 1 0 0 0 0
3.123469 1.589756 0.538189 0.028498 0.001316 0.000031 -185.789614 0 1 0 0 0 0
3.148304 1.689116 0.562840 0.032626 0.001628 0.000043 -185.020951 0 1 0 0 0 0
3.173639 1.788476 0.586471 0.036795 0.001948 0.000054 -184.148482 0 1 0 0 0 0
3.199368 1.887836 0.609136 0.040965 0.002266 0.000064 -183.186308 0 1 0 0 0 0
3.225389 1.987196 0.630892 0.045097 0.002573 0.000071 -182.148713 0 1 0 0 0 0
3.251592 2.086555 0.651803 0.049164 0.002864 0.000075 -181.050387 0 1 0 0 0 0
3.277858 2.185915 0.671942 0.053149 0.003135 0.000075 -179.906543 0 1 0 0 0 0
3.304065 2.285275 0.691385 0.057062 0.003388 0.000072 -178.732760 0 1 0 0 0 0
3.330102 2.384635 0.710208 0.060931 0.003629 0.000067 -177.544414 0 1 0 0 0 0
3.355889 2.483994 0.728474 0.064805 0.003868 0.000061 -176.355752 0 1 0 0 0 0
