r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.997467 1.016527 0.373671 0.007090 -0.000015 -0.000007 -190.098494 0 1 0 0 0 0
3.026126 1.161745 0.419001 0.011798 0.000189 -0.000004 -190.157393 0 1 0 0 0 0
3.057598 1.306963 0.461723 0.017055 0.000495 0.000007 -189.834603 0 1 0 0 0 0
3.091295 1.452181 0.501902 0.022781 0.000901 0.000026 -189.175297 0 1 0 0 0 0
3.126727 1.597400 0.539650 0.028890 0.001396 0.000053 -188.227685 0 1 0 0 0 0
3.163479 1.742618 0.575110 0.035283 0.001964 0.000089 -187.040015 0 1 0 0 0 0
3.201182 1.887836 0.608446 0.041845 0.002579 0.000129 -185.659749 0 1 0 0 0 0
