r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.997994 1.016527 0.373539 0.007115 -0.000013 -0.000007 -189.962868 0 1 0 0 0 0
3.026680 1.161745 0.418848 0.011816 0.000191 -0.000004 -190.011907 0 1 0 0 0 0
3.058161 1.306963 0.461553 0.017066 0.000497 0.000007 -189.681506 0 1 0 0 0 0
3.091855 1.452181 0.501720 0.022785 0.000903 0.000026 -189.016818 0 1 0 0 0 0
3.127272 1.597400 0.539462 0.028885 0.001397 0.000054 -188.065939 0 1 0 0 0 0
3.163999 1.742618 0.574921 0.035267 0.001963 0.000089 -186.877008 0 1 0 0 0 0
3.201664 1.887836 0.608263 0.041815 0.002576 0.000129 -185.497459 0 1 0 0 0 0
