r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.000884 1.016527 0.372820 0.007105 -0.000013 -0.000007 -189.199802 0 1 0 0 0 0
3.029435 1.161745 0.418086 0.011823 0.000192 -0.000004 -189.261375 0 1 0 0 0 0
3.060773 1.306963 0.460765 0.017096 0.000502 0.000007 -188.946243 0 1 0 0 0 0
3.094321 1.452181 0.500921 0.022844 0.000912 0.000027 -188.298683 0 1 0 0 0 0
3.129595 1.597400 0.538662 0.028983 0.001414 0.000055 -187.365843 0 1 0 0 0 0
3.166190 1.742618 0.574126 0.035417 0.001990 0.000092 -186.194793 0 1 0 0 0 0
3.203748 1.887836 0.607472 0.042036 0.002618 0.000134 -184.831682 0 1 0 0 0 0
