r2      ,q2       , beta    , q4     , q6     , q8     , ene     
5.202212 -15.667920 -0.294172 0.554432 -0.029223 -0.015351 -1264.247186 0 1 0 0 0 0
5.181838 -14.462695 -0.273682 0.539365 -0.035430 -0.011818 -1264.506594 0 1 0 0 0 0
5.169711 -13.257471 -0.252054 0.580838 -0.049377 -0.006396 -1264.848492 0 1 0 0 0 0
5.155324 -12.052246 -0.230421 0.554479 -0.052481 -0.002319 -1265.501010 0 1 0 0 0 0
5.139138 -10.847022 -0.208687 0.495204 -0.053555 0.001069 -1265.926423 0 1 0 0 0 0
5.124779 -9.641797 -0.186540 0.449739 -0.053898 0.002766 -1265.608299 0 1 0 0 0 0
5.113177 -8.436572 -0.163964 0.378545 -0.047958 0.003224 -1264.522336 0 1 0 0 0 0
5.104259 -7.231348 -0.141032 0.238783 -0.015261 0.000918 -1263.573499 0 1 0 0 0 0
5.097922 -6.026123 -0.117819 0.156665 0.007310 -0.000506 -1263.192291 0 1 0 0 0 0
5.093542 -4.820898 -0.094418 0.168228 0.004987 0.000230 -1262.639158 0 1 0 0 0 0
5.091500 -3.615674 -0.070870 0.229181 0.000819 0.001442 -1261.887924 0 1 0 0 0 0
5.091155 -2.410449 -0.047253 0.306859 0.000502 0.002927 -1261.124856 0 1 0 0 0 0
5.091097 -1.205225 -0.023627 0.344967 0.002897 0.003586 -1260.404440 0 1 0 0 0 0
5.088900 -0.000010 -0.000000 0.000122 0.000001 0.000000 -1259.789643 0 1 0 0 0 0
5.090167 1.205225 0.023636 0.276314 0.009331 0.001366 -1260.293358 0 1 0 0 0 0
5.090700 2.410449 0.047262 0.231040 0.009944 0.000530 -1260.729414 0 1 0 0 0 0
5.093299 3.615674 0.070820 0.179929 0.006620 -0.000509 -1261.030047 0 1 0 0 0 0
5.097198 4.820898 0.094282 0.092752 -0.002797 -0.001532 -1261.459311 0 1 0 0 0 0
5.102170 6.026123 0.117623 -0.012994 -0.010822 -0.000766 -1262.094341 0 1 0 0 0 0
5.106474 7.231348 0.140910 -0.031006 -0.007664 0.001701 -1262.834084 0 1 0 0 0 0
5.111936 8.436572 0.164044 -0.047824 -0.006947 0.002946 -1263.902342 0 1 0 0 0 0
5.120145 9.641797 0.186878 -0.026475 -0.010953 0.003408 -1265.076026 0 1 0 0 0 0
5.121516 10.847022 0.210126 0.329561 0.034502 0.008354 -1266.230606 0 1 0 0 0 0
5.127999 12.052246 0.232883 0.456885 0.054755 0.009939 -1267.541276 0 1 0 0 0 0
5.136092 13.257471 0.255364 0.551098 0.068583 0.007784 -1268.232134 0 1 0 0 0 0
5.145428 14.462695 0.277569 0.634365 0.075340 0.003715 -1268.325105 0 1 0 0 0 0
5.155497 15.667920 0.299527 0.698017 0.065013 -0.002154 -1267.760023 0 1 0 0 0 0
5.167209 16.873145 0.321107 0.698084 0.038846 -0.006555 -1266.625881 0 1 0 0 0 0
5.180069 18.078369 0.342337 0.650407 0.004759 -0.012795 -1265.534014 0 1 0 0 0 0
5.193771 19.283594 0.363235 0.669642 -0.015756 -0.021087 -1264.441127 0 1 0 0 0 0
5.208948 20.488819 0.383692 0.699186 -0.029817 -0.027894 -1262.497920 0 1 0 0 0 0
5.223864 21.694043 0.403945 0.657222 -0.054189 -0.030552 -1260.049308 0 1 0 0 0 0
5.241580 22.899268 0.423509 0.598422 -0.074036 -0.028358 -1257.475126 0 1 0 0 0 0
5.268358 24.104492 0.441279 0.439628 -0.096767 -0.020498 -1254.613465 0 1 0 0 0 0
5.290833 25.309717 0.459414 0.346155 -0.130501 -0.015463 -1251.970047 0 1 0 0 0 0
5.310968 26.514942 0.477649 0.309529 -0.162596 -0.013827 -1248.968642 0 1 0 0 0 0
5.329732 27.720166 0.495850 0.310210 -0.190222 -0.016135 -1245.682209 0 1 0 0 0 0
5.348100 28.925391 0.513861 0.331228 -0.214513 -0.020001 -1242.085429 0 1 0 0 0 0
5.366637 30.130616 0.531580 0.368849 -0.233685 -0.024521 -1238.021831 0 1 0 0 0 0
