r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.188661 -1.291677 -0.419581 0.035042 -0.003258 0.000295 -173.413699 0 1 0 0 0 0
3.145214 -1.192317 -0.398080 0.030148 -0.002602 0.000220 -175.987695 0 1 0 0 0 0
3.103861 -1.092958 -0.374695 0.025426 -0.002002 0.000155 -178.128298 0 1 0 0 0 0
3.065727 -0.993598 -0.349158 0.020982 -0.001480 0.000103 -179.838705 0 1 0 0 0 0
3.031309 -0.894238 -0.321419 0.016843 -0.001042 0.000064 -181.130266 0 1 0 0 0 0
3.001021 -0.794878 -0.291502 0.013025 -0.000688 0.000036 -182.029537 0 1 0 0 0 0
2.975134 -0.695518 -0.259522 0.009535 -0.000413 0.000018 -182.575982 0 1 0 0 0 0
2.953753 -0.596159 -0.225680 0.006384 -0.000213 0.000007 -182.816655 0 1 0 0 0 0
2.936828 -0.496799 -0.190240 0.003618 -0.000082 0.000002 -182.798521 0 1 0 0 0 0
2.924187 -0.397439 -0.153511 0.001391 -0.000012 -0.000000 -182.559981 0 1 0 0 0 0
2.915572 -0.298079 -0.115815 0.000096 0.000006 -0.000000 -182.132762 0 1 0 0 0 0
2.910879 -0.198720 -0.077459 -0.000069 0.000002 -0.000000 -181.568718 0 1 0 0 0 0
2.908850 -0.099360 -0.038783 -0.000033 0.000000 -0.000000 -181.135847 0 1 0 0 0 0
2.908238 -0.000000 -0.000000 0.000000 0.000000 0.000000 -180.988366 0 1 0 0 0 0
2.908779 0.099360 0.038785 -0.000063 -0.000000 0.000000 -181.135801 0 1 0 0 0 0
2.910384 0.198720 0.077485 -0.000298 -0.000003 0.000000 -181.575874 0 1 0 0 0 0
2.913095 0.298079 0.116012 -0.000802 -0.000010 0.000000 -182.301997 0 1 0 0 0 0
2.917304 0.397439 0.154236 -0.001800 -0.000028 0.000001 -183.285473 0 1 0 0 0 0
2.923632 0.496799 0.191961 -0.002731 -0.000064 0.000002 -184.432870 0 1 0 0 0 0
2.932263 0.596159 0.229000 -0.002030 -0.000103 0.000001 -185.512774 0 1 0 0 0 0
2.943410 0.695518 0.265146 -0.000469 -0.000126 -0.000002 -186.423165 0 1 0 0 0 0
2.956878 0.794878 0.300270 0.001570 -0.000120 -0.000005 -187.153272 0 1 0 0 0 0
2.972438 0.894238 0.334277 0.004008 -0.000078 -0.000007 -187.687462 0 1 0 0 0 0
2.989854 0.993598 0.367104 0.006787 0.000005 -0.000008 -188.022033 0 1 0 0 0 0
3.008895 1.092958 0.398720 0.009864 0.000130 -0.000007 -188.161322 0 1 0 0 0 0
3.029340 1.192317 0.429116 0.013201 0.000297 -0.000004 -188.114584 0 1 0 0 0 0
3.050990 1.291677 0.458301 0.016765 0.000503 0.000002 -187.893942 0 1 0 0 0 0
3.073664 1.391037 0.486300 0.020521 0.000746 0.000010 -187.513053 0 1 0 0 0 0
3.097205 1.490397 0.513146 0.024434 0.001018 0.000020 -186.986250 0 1 0 0 0 0
3.121471 1.589756 0.538878 0.028466 0.001313 0.000031 -186.328035 0 1 0 0 0 0
3.146341 1.689116 0.563542 0.032577 0.001624 0.000043 -185.552841 0 1 0 0 0 0
3.171702 1.788476 0.587188 0.036725 0.001941 0.000054 -184.675004 0 1 0 0 0 0
3.197447 1.887836 0.609868 0.040871 0.002255 0.000063 -183.708882 0 1 0 0 0 0
3.223468 1.987196 0.631644 0.044976 0.002559 0.000070 -182.669084 0 1 0 0 0 0
3.249650 2.086555 0.652582 0.049014 0.002847 0.000074 -181.570681 0 1 0 0 0 0
3.275869 2.185915 0.672758 0.052973 0.003115 0.000074 -180.429291 0 1 0 0 0 0
3.302001 2.285275 0.692250 0.056866 0.003367 0.000072 -179.260832 0 1 0 0 0 0
3.327938 2.384635 0.711132 0.060726 0.003609 0.000067 -178.080844 0 1 0 0 0 0
3.353606 2.483994 0.729466 0.064605 0.003852 0.000062 -176.903496 0 1 0 0 0 0
