r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.000323 1.016527 0.372959 0.007096 -0.000014 -0.000007 -189.371368 0 1 0 0 0 0
3.028908 1.161745 0.418232 0.011811 0.000191 -0.000004 -189.431706 0 1 0 0 0 0
3.060290 1.306963 0.460911 0.017079 0.000499 0.000007 -189.113671 0 1 0 0 0 0
3.093888 1.452181 0.501061 0.022819 0.000908 0.000026 -188.461826 0 1 0 0 0 0
3.129216 1.597400 0.538792 0.028948 0.001407 0.000055 -187.523666 0 1 0 0 0 0
3.165865 1.742618 0.574243 0.035369 0.001980 0.000091 -186.346658 0 1 0 0 0 0
3.203473 1.887836 0.607576 0.041968 0.002603 0.000132 -184.977400 0 1 0 0 0 0
