r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.998545 1.016527 0.373402 0.007111 -0.000013 -0.000007 -189.839195 0 1 0 0 0 0
3.027213 1.161745 0.418701 0.011814 0.000191 -0.000004 -189.889879 0 1 0 0 0 0
3.058676 1.306963 0.461397 0.017068 0.000497 0.000007 -189.561349 0 1 0 0 0 0
3.092354 1.452181 0.501558 0.022790 0.000903 0.000026 -188.898653 0 1 0 0 0 0
3.127756 1.597400 0.539295 0.028895 0.001399 0.000054 -187.949781 0 1 0 0 0 0
3.164469 1.742618 0.574750 0.035282 0.001966 0.000089 -186.762755 0 1 0 0 0 0
3.202124 1.887836 0.608088 0.041838 0.002580 0.000129 -185.384870 0 1 0 0 0 0
