r2      ,q2       , beta    , q4     , q6     , q8     , ene     
2.999051 1.016527 0.373276 0.007133 -0.000011 -0.000007 -189.627390 0 1 0 0 0 0
3.027708 1.161745 0.418564 0.011836 0.000193 -0.000004 -189.674148 0 1 0 0 0 0
3.059144 1.306963 0.461256 0.017090 0.000501 0.000007 -189.344134 0 1 0 0 0 0
3.092781 1.452181 0.501420 0.022815 0.000908 0.000026 -188.682163 0 1 0 0 0 0
3.128135 1.597400 0.539165 0.028924 0.001405 0.000055 -187.735887 0 1 0 0 0 0
3.164794 1.742618 0.574632 0.035319 0.001974 0.000090 -186.552947 0 1 0 0 0 0
3.202392 1.887836 0.607987 0.041885 0.002592 0.000131 -185.180243 0 1 0 0 0 0
