r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.017500 -1.291677 -0.468531 0.019967 -0.000596 0.000000 -181.961712 0 1 0 0 0 0
2.976923 -1.192317 -0.444360 0.016758 -0.000433 -0.000002 -183.329447 0 1 0 0 0 0
2.966051 -1.092958 -0.410322 0.014877 -0.000443 0.000004 -184.528931 0 1 0 0 0 0
2.959987 -0.993598 -0.374550 0.012656 -0.000416 0.000007 -187.297362 0 1 0 0 0 0
2.937148 -0.894238 -0.342358 0.010394 -0.000331 0.000006 -190.869089 0 1 0 0 0 0
2.909860 -0.794878 -0.310052 0.008248 -0.000228 0.000003 -193.480646 0 1 0 0 0 0
2.887058 -0.695518 -0.275598 0.006190 -0.000136 0.000001 -195.232470 0 1 0 0 0 0
2.868413 -0.596159 -0.239308 0.004270 -0.000063 -0.000000 -196.306960 0 1 0 0 0 0
2.853645 -0.496799 -0.201493 0.002548 -0.000013 -0.000000 -196.846580 0 1 0 0 0 0
2.842416 -0.397439 -0.162470 0.001142 0.000011 -0.000000 -196.953290 0 1 0 0 0 0
2.834369 -0.298079 -0.122546 0.000270 0.000011 -0.000000 -196.707284 0 1 0 0 0 0
2.829357 -0.198720 -0.081987 0.000065 0.000003 -0.000000 -196.201948 0 1 0 0 0 0
2.826844 -0.099360 -0.041066 -0.000003 0.000000 0.000000 -195.744196 0 1 0 0 0 0
2.826097 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -195.588239 0 1 0 0 0 0
2.826842 0.099360 0.041066 0.000014 -0.000000 -0.000000 -195.748165 0 1 0 0 0 0
2.828948 0.198720 0.082010 -0.000009 -0.000002 -0.000000 -196.220802 0 1 0 0 0 0
2.832405 0.298079 0.122716 -0.000159 -0.000006 -0.000000 -196.995615 0 1 0 0 0 0
2.837594 0.397439 0.163023 -0.000673 -0.000020 -0.000000 -198.012246 0 1 0 0 0 0
2.844658 0.496799 0.202768 -0.000909 -0.000043 -0.000000 -199.143198 0 1 0 0 0 0
2.853278 0.596159 0.241853 -0.000118 -0.000066 -0.000001 -200.096445 0 1 0 0 0 0
2.863797 0.695518 0.280093 0.000963 -0.000088 -0.000002 -200.787366 0 1 0 0 0 0
2.876045 0.794878 0.317386 0.002184 -0.000110 -0.000003 -201.170223 0 1 0 0 0 0
2.889808 0.894238 0.353666 0.003485 -0.000131 -0.000005 -201.197186 0 1 0 0 0 0
2.904896 0.993598 0.388891 0.004822 -0.000154 -0.000007 -200.829950 0 1 0 0 0 0
2.921152 1.092958 0.423032 0.006161 -0.000180 -0.000010 -200.037572 0 1 0 0 0 0
2.938451 1.192317 0.456072 0.007481 -0.000211 -0.000013 -198.794938 0 1 0 0 0 0
2.956694 1.291677 0.488000 0.008766 -0.000247 -0.000016 -197.081642 0 1 0 0 0 0
2.975806 1.391037 0.518810 0.010010 -0.000289 -0.000020 -194.880830 0 1 0 0 0 0
2.995740 1.490397 0.548495 0.011215 -0.000338 -0.000024 -192.177643 0 1 0 0 0 0
3.016474 1.589756 0.577046 0.012388 -0.000394 -0.000029 -188.957010 0 1 0 0 0 0
3.038024 1.689116 0.604444 0.013543 -0.000456 -0.000034 -185.200850 0 1 0 0 0 0
3.060439 1.788476 0.630659 0.014691 -0.000525 -0.000039 -180.884967 0 1 0 0 0 0
3.083801 1.887836 0.655647 0.015846 -0.000600 -0.000045 -175.976066 0 1 0 0 0 0
3.108211 1.987196 0.679357 0.017013 -0.000682 -0.000051 -170.429206 0 1 0 0 0 0
3.133772 2.086555 0.701736 0.018196 -0.000771 -0.000057 -164.185705 0 1 0 0 0 0
3.160581 2.185915 0.722733 0.019390 -0.000868 -0.000064 -157.171323 0 1 0 0 0 0
3.188727 2.285275 0.742305 0.020584 -0.000978 -0.000071 -149.294588 0 1 0 0 0 0
3.218301 2.384635 0.760409 0.021758 -0.001102 -0.000080 -140.445545 0 1 0 0 0 0
3.249401 2.483994 0.777003 0.022887 -0.001249 -0.000090 -130.495654 0 1 0 0 0 0
