r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.031693 -1.291677 -0.464154 0.019642 -0.000560 -0.000001 -173.672608 0 1 0 0 0 0
2.997986 -1.192317 -0.438138 0.016784 -0.000446 -0.000000 -175.251981 0 1 0 0 0 0
2.985352 -1.092958 -0.405033 0.014939 -0.000459 0.000005 -177.225002 0 1 0 0 0 0
2.974361 -0.993598 -0.370938 0.012739 -0.000430 0.000008 -180.464160 0 1 0 0 0 0
2.950190 -0.894238 -0.339338 0.010516 -0.000341 0.000006 -184.168096 0 1 0 0 0 0
2.924400 -0.794878 -0.306977 0.008365 -0.000236 0.000003 -186.835035 0 1 0 0 0 0
2.902803 -0.695518 -0.272616 0.006305 -0.000143 0.000001 -188.629673 0 1 0 0 0 0
2.885116 -0.596159 -0.236545 0.004377 -0.000068 0.000000 -189.741582 0 1 0 0 0 0
2.871105 -0.496799 -0.199050 0.002641 -0.000017 -0.000000 -190.317831 0 1 0 0 0 0
2.860472 -0.397439 -0.160426 0.001210 0.000008 -0.000000 -190.463615 0 1 0 0 0 0
2.852875 -0.298079 -0.120961 0.000312 0.000009 -0.000000 -190.259490 0 1 0 0 0 0
2.848145 -0.198720 -0.080909 0.000078 0.000002 -0.000000 -189.794797 0 1 0 0 0 0
2.845757 -0.099360 -0.040522 -0.000001 0.000000 0.000000 -189.375537 0 1 0 0 0 0
2.845053 0.000000 0.000000 -0.000002 -0.000000 -0.000000 -189.233478 0 1 0 0 0 0
2.845776 0.099360 0.040522 0.000019 -0.000000 -0.000000 -189.382910 0 1 0 0 0 0
2.847800 0.198720 0.080928 0.000008 -0.000001 -0.000000 -189.821536 0 1 0 0 0 0
2.851109 0.298079 0.121111 -0.000114 -0.000006 -0.000000 -190.539725 0 1 0 0 0 0
2.856044 0.397439 0.160924 -0.000581 -0.000018 -0.000000 -191.482210 0 1 0 0 0 0
2.862837 0.496799 0.200201 -0.000881 -0.000040 -0.000000 -192.534965 0 1 0 0 0 0
2.871166 0.596159 0.238849 -0.000153 -0.000063 -0.000001 -193.424938 0 1 0 0 0 0
2.881317 0.695518 0.276698 0.000924 -0.000085 -0.000002 -194.037710 0 1 0 0 0 0
2.893141 0.794878 0.313646 0.002149 -0.000107 -0.000003 -194.328761 0 1 0 0 0 0
2.906425 0.894238 0.349634 0.003462 -0.000129 -0.000005 -194.246960 0 1 0 0 0 0
2.920983 0.993598 0.384619 0.004817 -0.000152 -0.000007 -193.751164 0 1 0 0 0 0
2.936665 1.092958 0.418575 0.006180 -0.000178 -0.000009 -192.807834 0 1 0 0 0 0
2.953352 1.192317 0.451482 0.007527 -0.000208 -0.000012 -191.389281 0 1 0 0 0 0
2.970952 1.291677 0.483327 0.008843 -0.000243 -0.000016 -189.472423 0 1 0 0 0 0
2.989396 1.391037 0.514104 0.010121 -0.000284 -0.000020 -187.037647 0 1 0 0 0 0
3.008638 1.490397 0.543802 0.011359 -0.000331 -0.000024 -184.067387 0 1 0 0 0 0
3.028660 1.589756 0.572412 0.012564 -0.000385 -0.000029 -180.544162 0 1 0 0 0 0
3.049471 1.689116 0.599914 0.013746 -0.000446 -0.000034 -176.448044 0 1 0 0 0 0
3.071116 1.788476 0.626281 0.014917 -0.000513 -0.000039 -171.753742 0 1 0 0 0 0
3.093670 1.887836 0.651471 0.016088 -0.000587 -0.000044 -166.427645 0 1 0 0 0 0
3.117230 1.987196 0.675432 0.017265 -0.000667 -0.000050 -160.425125 0 1 0 0 0 0
3.141905 2.086555 0.698108 0.018454 -0.000755 -0.000057 -153.688175 0 1 0 0 0 0
3.167803 2.185915 0.719442 0.019649 -0.000851 -0.000063 -146.143310 0 1 0 0 0 0
3.195030 2.285275 0.739379 0.020842 -0.000959 -0.000071 -137.699679 0 1 0 0 0 0
3.223705 2.384635 0.757862 0.022015 -0.001082 -0.000079 -128.247782 0 1 0 0 0 0
3.253957 2.483994 0.774829 0.023142 -0.001227 -0.000089 -117.659722 0 1 0 0 0 0
