r2      ,q2       , beta    , q4     , q6     , q8     , ene     
3.038700 -1.291677 -0.462016 0.019484 -0.000543 -0.000001 -169.538088 0 1 0 0 0 0
3.008177 -1.192317 -0.435175 0.016824 -0.000455 0.000000 -171.292039 0 1 0 0 0 0
2.993932 -1.092958 -0.402715 0.014961 -0.000466 0.000005 -173.610843 0 1 0 0 0 0
2.981177 -0.993598 -0.369244 0.012780 -0.000436 0.000008 -177.055561 0 1 0 0 0 0
2.956667 -0.894238 -0.337852 0.010570 -0.000345 0.000006 -180.821473 0 1 0 0 0 0
2.931567 -0.794878 -0.305478 0.008420 -0.000239 0.000003 -183.520100 0 1 0 0 0 0
2.910524 -0.695518 -0.271172 0.006361 -0.000145 0.000001 -185.339777 0 1 0 0 0 0
2.893273 -0.596159 -0.235213 0.004430 -0.000070 0.000000 -186.473251 0 1 0 0 0 0
2.879601 -0.496799 -0.197877 0.002686 -0.000019 -0.000000 -187.069766 0 1 0 0 0 0
2.869232 -0.397439 -0.159448 0.001244 0.000007 -0.000000 -187.236173 0 1 0 0 0 0
2.861837 -0.298079 -0.120204 0.000333 0.000009 -0.000000 -187.053495 0 1 0 0 0 0
2.857236 -0.198720 -0.080395 0.000084 0.000002 -0.000000 -186.609452 0 1 0 0 0 0
2.854906 -0.099360 -0.040263 -0.000000 0.000000 0.000000 -186.209317 0 1 0 0 0 0
2.854223 -0.000000 -0.000000 -0.000002 -0.000000 -0.000000 -186.074186 0 1 0 0 0 0
2.854936 0.099360 0.040262 0.000021 -0.000000 -0.000000 -186.218502 0 1 0 0 0 0
2.856919 0.198720 0.080412 0.000016 -0.000001 -0.000000 -186.640401 0 1 0 0 0 0
2.860159 0.298079 0.120346 -0.000094 -0.000005 -0.000000 -187.330703 0 1 0 0 0 0
2.864973 0.397439 0.159922 -0.000538 -0.000017 -0.000000 -188.236596 0 1 0 0 0 0
2.871633 0.496799 0.198976 -0.000863 -0.000038 -0.000000 -189.249084 0 1 0 0 0 0
2.879826 0.596159 0.237415 -0.000172 -0.000061 -0.000001 -190.106639 0 1 0 0 0 0
2.889807 0.695518 0.275074 0.000902 -0.000083 -0.000002 -190.679079 0 1 0 0 0 0
2.901434 0.794878 0.311856 0.002129 -0.000105 -0.000003 -190.922506 0 1 0 0 0 0
2.914494 0.894238 0.347701 0.003447 -0.000128 -0.000004 -190.784205 0 1 0 0 0 0
2.928803 0.993598 0.382568 0.004810 -0.000151 -0.000007 -190.221666 0 1 0 0 0 0
2.944213 1.092958 0.416431 0.006184 -0.000177 -0.000009 -189.200126 0 1 0 0 0 0
2.960609 1.192317 0.449271 0.007544 -0.000207 -0.000012 -187.690683 0 1 0 0 0 0
2.977902 1.291677 0.481074 0.008875 -0.000241 -0.000016 -185.668997 0 1 0 0 0 0
2.996026 1.391037 0.511831 0.010168 -0.000282 -0.000020 -183.114147 0 1 0 0 0 0
3.014937 1.490397 0.541532 0.011423 -0.000329 -0.000024 -180.007254 0 1 0 0 0 0
3.034616 1.589756 0.570167 0.012643 -0.000382 -0.000029 -176.329629 0 1 0 0 0 0
3.055072 1.689116 0.597717 0.013839 -0.000442 -0.000034 -172.060357 0 1 0 0 0 0
3.076347 1.788476 0.624153 0.015021 -0.000508 -0.000039 -167.173473 0 1 0 0 0 0
3.098512 1.887836 0.649436 0.016201 -0.000581 -0.000044 -161.635046 0 1 0 0 0 0
3.121665 1.987196 0.673514 0.017384 -0.000661 -0.000050 -155.400426 0 1 0 0 0 0
3.145914 2.086555 0.696330 0.018576 -0.000748 -0.000057 -148.411785 0 1 0 0 0 0
3.171373 2.185915 0.717823 0.019773 -0.000844 -0.000063 -140.595905 0 1 0 0 0 0
3.198159 2.285275 0.737933 0.020966 -0.000951 -0.000071 -131.862199 0 1 0 0 0 0
3.226399 2.384635 0.756597 0.022138 -0.001073 -0.000079 -122.101407 0 1 0 0 0 0
3.256240 2.483994 0.773742 0.023264 -0.001217 -0.000089 -111.185992 0 1 0 0 0 0
